MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn|time|tre200s0|sre000z0|rre150z0|dkl010z0|fu3010z0|pp0qnhs0|fu3010z1|ure200s0|prestas0|pp0qffs0
TAE|201708301540|28.2|0|0.0|296|6.5|1012.4|10.1|48|949.3|1008.3
COM|201708301540|22.7|0|0.0|249|1.4|1016.5|3.2|79|949.0|1013.5
ABO|201708301540|21.6|0|0.0|58|6.8|1018.7|13.0|64|868.3|-
AIG|201708301540|26.7|0|0.0|42|2.2|1011.5|4.3|61|966.5|1009.1
ALT|201708301540|26.7|0|0.0|277|3.6|1011.7|6.5|59|960.0|1008.7
AND|201708301540|26.4|10|0.0|184|19.1|1016.4|37.4|44|902.9|-
BAS|201708301540|28.2|0|0.0|284|9.0|1011.5|18.4|48|974.0|1009.3
BER|201708301540|27.4|0|0.0|213|9.0|1013.0|17.6|43|948.2|1009.0
BEZ|201708301540|32.0|2|0.0|217|4.3|1010.7|9.7|33|972.1|1007.9
BIE|201708301540|24.9|0|0.0|205|7.2|1013.4|11.2|56|933.8|-
BUS|201708301540|29.6|0|0.0|213|7.9|1011.6|14.0|41|965.9|1008.6
FRE|201708301540|21.0|0|0.0|227|7.9|1017.0|25.9|54|879.8|-
CHA|201708301540|17.1|0|0.0|269|25.6|1019.5|40.3|67|841.0|-
CHU|201708301540|30.1|10|0.0|3|7.9|1011.9|11.5|39|946.8|1007.3
CIM|201708301540|17.0|10|0.0|70|3.2|1023.1|5.0|76|837.2|-
GSB|201708301540|13.4|0|0.0|357|15.8|1026.6|29.9|73|758.4|-
DAV|201708301540|23.4|10|0.0|1|11.2|1019.3|18.0|46|840.9|-
DIS|201708301540|23.4|8|0.0|161|5.4|1018.5|15.5|50|882.0|-
ENG|201708301540|24.6|2|0.0|255|13.0|1016.2|23.8|55|897.4|-
EVO|201708301540|19.9|0|0.0|111|6.8|1021.3|10.1|53|818.7|-
FAH|201708301540|24.0|0|0.0|303|16.9|1013.8|23.4|63|944.0|1010.3
GVE|201708301540|28.2|0|0.0|208|18.4|1011.8|24.8|49|963.3|1008.9
GLA|201708301540|27.5|10|0.0|273|22.0|1011.8|32.4|51|951.2|1008.1
GRH|201708301540|17.2|5|0.0|162|32.8|1023.1|43.9|56|806.9|-
GOE|201708301540|29.8|0|0.0|228|10.1|1011.5|20.9|40|966.5|1008.5
GUE|201708301540|14.2|10|0.0|151|50.0|1024.6|61.9|69|776.4|-
GUT|201708301540|28.2|10|0.0|163|2.9|1011.7|5.0|52|959.9|1008.5
HOE|201708301540|23.8|8|0.0|305|8.6|1016.8|16.6|62|887.4|-
INT|201708301540|25.8|0|0.0|47|9.4|1013.0|13.7|59|945.4|1009.1
JUN|201708301540|6.0|0|-|131|9.4|1032.8|23.4|79|664.9|-
CDF|201708301540|22.0|0|0.0|263|11.5|1016.0|21.2|57|899.2|-
DOL|201708301540|18.0|0|0.0|210|34.9|1019.8|58.7|60|833.5|-
MLS|201708301540|15.5|0|0.0|255|18.0|1021.8|34.2|70|804.4|-
LEI|201708301540|31.6|0|0.0|247|10.1|1010.8|17.3|36|970.4|1007.9
OTL|201708301540|27.2|10|0.0|221|4.7|1015.8|9.0|53|971.6|1013.4
LUG|201708301540|28.4|10|0.0|202|9.7|1015.2|13.3|49|979.5|1013.1
LUZ|201708301540|28.3|0|0.0|329|5.0|1012.3|9.0|53|958.8|1009.0
LAE|201708301540|25.7|0|-|199|16.6|1014.5|25.6|46|916.9|-
MAG|201708301540|27.9|10|0.0|237|11.9|1014.5|17.3|53|990.1|1013.2
MVE|201708301540|22.3|0|0.0|67|9.4|1018.4|20.9|49|857.9|-
MRP|201708301540|12.4|0|-|329|3.2|1028.9|11.5|55|723.0|-
MOE|201708301540|28.7|0|0.0|292|12.2|1011.7|19.8|50|970.9|1009.2
MUB|201708301540|27.3|0|0.0|144|3.6|1012.3|9.0|46|955.9|1009.0
NAP|201708301540|21.2|0|0.0|306|6.1|1019.0|13.7|65|860.4|-
NEU|201708301540|28.1|0|0.0|279|18.7|1012.1|32.0|39|955.2|1008.6
CGI|201708301540|27.0|0|0.0|212|12.6|1011.8|20.5|50|957.9|1008.7
PAY|201708301540|27.6|0|0.0|214|10.4|1012.1|17.3|43|954.6|1008.6
PIL|201708301540|17.3|5|0.0|176|5.4|1023.3|13.0|75|792.9|-
PIO|201708301540|21.8|0|0.0|81|5.0|1019.0|11.2|67|905.0|-
COV|201708301540|9.8|10|0.0|217|9.4|1032.7|24.1|71|688.5|-
PLF|201708301540|22.1|0|0.0|244|9.4|1016.4|20.5|56|896.8|-
ROB|201708301540|22.7|7|0.0|251|3.6|1019.2|5.4|62|895.5|-
PUY|201708301540|25.4|0|0.0|32|5.0|1012.0|10.1|60|958.4|1009.2
ROE|201708301540|14.2|0|0.0|160|2.2|1024.4|4.3|80|814.5|-
RUE|201708301540|27.2|0|0.0|314|12.6|1013.3|22.3|49|941.8|-
SBE|201708301540|17.9|2|0.0|134|8.3|1023.1|15.8|75|839.5|-
SAM|201708301540|19.1|10|0.0|220|31.7|1021.5|45.4|64|831.0|-
SHA|201708301540|30.6|6|0.0|217|12.6|1011.6|21.2|35|959.9|1008.0
SCU|201708301540|26.0|6|0.0|105|4.3|1017.3|9.0|40|869.5|-
SIO|201708301540|28.8|2|0.0|257|11.5|1011.7|18.0|44|955.1|1008.1
STG|201708301540|26.0|10|0.0|40|6.1|1014.0|10.4|51|924.0|-
SBO|201708301540|27.9|10|0.0|245|4.0|1015.7|6.1|47|973.9|1013.3
SAE|201708301540|15.7|10|0.0|196|5.8|1025.9|16.6|63|757.2|-
ULR|201708301540|22.0|0|0.0|83|27.7|1018.9|43.9|50|866.5|-
VAD|201708301540|29.1|10|0.0|318|7.2|1011.3|14.0|46|957.5|1007.8
VIS|201708301540|27.9|0|0.0|110|25.9|1012.6|36.0|41|938.0|-
WFJ|201708301540|16.4|10|0.0|165|10.8|1027.6|18.0|50|741.7|-
WYN|201708301540|28.8|0|0.0|224|9.7|1011.6|21.2|42|961.8|1008.5
WAE|201708301540|28.6|0|0.0|290|6.8|1012.3|10.8|48|955.2|1008.6
